Phase_Min,Phase_Max,Norm_Intensity
0.6777344,0.6777344,0.004286762
0.6816406,0.6816406,0.003814891
0.6855469,0.6855469,0.000325064
0.6894531,0.6894531,0.002277263
0.6933594,0.6933594,0.004095272
0.6972656,0.6972656,0.004151793
0.7011719,0.7011719,0.005910279
0.7050781,0.7050781,0.004761127
0.7089844,0.7089844,0.005316445
0.7128906,0.7128906,0.001652671
0.7167969,0.7167969,0.000474220
0.7207031,0.7207031,0.002818927
0.7246094,0.7246094,0.005046190
0.7285156,0.7285156,0.001627656
0.7324219,0.7324219,0.006408802
0.7363281,0.7363281,0.008861001
0.7402344,0.7402344,0.008545173
0.7441406,0.7441406,0.003578917
0.7480469,0.7480469,0.002229077
0.7519531,0.7519531,0.002571715
0.7558594,0.7558594,0.003856674
0.7597656,0.7597656,-0.000079300
0.7636719,0.7636719,-0.000268535
0.7675781,0.7675781,0.003922877
0.7714844,0.7714844,-0.000481536
0.7753906,0.7753906,-0.000528722
0.7792969,0.7792969,0.001419009
0.7832031,0.7832031,0.001712174
0.7871094,0.7871094,0.005783761
0.7910156,0.7910156,-0.000245566
0.7949219,0.7949219,0.003009870
0.7988281,0.7988281,-0.000132229
0.8027344,0.8027344,0.004071426
0.8066406,0.8066406,-0.000697673
0.8105469,0.8105469,0.003497182
0.8144531,0.8144531,0.002118193
0.8183594,0.8183594,0.001225124
0.8222656,0.8222656,0.003219284
0.8261719,0.8261719,0.001235222
0.8300781,0.8300781,0.002237294
0.8339844,0.8339844,0.000877235
0.8378906,0.8378906,-0.000888476
0.8417969,0.8417969,0.001812931
0.8457031,0.8457031,0.001632601
0.8496094,0.8496094,0.000672905
0.8535156,0.8535156,-0.001798648
0.8574219,0.8574219,0.000096500
0.8613281,0.8613281,0.001692550
0.8652344,0.8652344,0.001023936
0.8691406,0.8691406,0.000368651
0.8730469,0.8730469,-0.000158551
0.8769531,0.8769531,0.000449031
0.8808594,0.8808594,0.000100255
0.8847656,0.8847656,-0.000156740
0.8886719,0.8886719,0.004456021
0.8925781,0.8925781,0.002266757
0.8964844,0.8964844,0.006214791
0.9003906,0.9003906,0.001432552
0.9042969,0.9042969,0.007918262
0.9082031,0.9082031,0.009735781
0.9121094,0.9121094,0.009149287
0.9160156,0.9160156,0.008960157
0.9199219,0.9199219,0.011937786
0.9238281,0.9238281,0.014841233
0.9277344,0.9277344,0.021791074
0.9316406,0.9316406,0.025784206
0.9355469,0.9355469,0.036474306
0.9394531,0.9394531,0.050218530
