,data_id,phafile,backgrnd,rmffile,arffile,modelxcm,binminsig,binmaxbin,fitemin,fitemax,plotxmin,plotxmax,plotymin,plotymax,ploty2min,ploty2max,grp_pha,OBSID,DATEOBS,DATEEND,EXPOSURE,MJD_DATEOBS,MJD_DATEEND,OBJECT,TELESCOP,INSTRUME,MJDOBS,TSTART,TSTOP,fxcm_fit,title,chisquare,reduced_chisquare,dof,probability,rate_0p2to2p0keV,rate_0p2to2p0keV_err,flux_0p2to2p0keV,flux_0p2to2p0keV_err_min,flux_0p2to2p0keV_err_max,par_2,par_2_err_min,par_2_err_max,par_3,par_3_err_min,par_3_err_max
17,1020130122,nispec/psrb0656p14/pha/1020130122/ni1020130122_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130122/ni1020130122_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130122/ni1020130122_o1u20cut_clscr_gtisel_s5n50.pha,1020130122,2017-12-24T03:54:40,2017-12-24T17:44:33,1765.0,58111.16296296296,58111.739270833335,PSR_B0656+14,NICER,XTI,58111.16982851852,125553806.0,125593214.0,nispec/psrb0656p14/fit/1020130122/ni1020130122_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130122 2017-12-24T03:54:40 (1765.0 s),339.58,4.5889,74,1.176672e-35,9.744,0.07777,1.1226e-11,7.599999999999927e-14,9.40000000000002e-14,0.0872933,,,23625.2,,
18,1020130123,nispec/psrb0656p14/pha/1020130123/ni1020130123_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130123/ni1020130123_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130123/ni1020130123_o1u20cut_clscr_gtisel_s5n50.pha,1020130123,2017-12-25T01:23:00,2017-12-25T23:13:10,410.0,58112.05763888889,58112.96747685185,PSR_B0656+14,NICER,XTI,58112.20431925926,125643186.0,125709178.0,nispec/psrb0656p14/fit/1020130123/ni1020130123_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130123 2017-12-25T01:23:00 (410.0 s),100.84,1.9773,51,3.999502e-05,9.752,0.1614,1.1148e-11,2.180000000000009e-13,1.9199999999999918e-13,0.0884493,-0.00095309,0.000966344,22078.0,-1247.09,1322.27
19,1020130124,nispec/psrb0656p14/pha/1020130124/ni1020130124_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130124/ni1020130124_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130124/ni1020130124_o1u20cut_clscr_gtisel_s5n50.pha,1020130124,2017-12-26T08:25:00,2017-12-26T22:38:28,2216.792696982622,58113.350694444445,58113.94337962963,PSR_B0656+14,NICER,XTI,58113.35279148148,125742414.0,125793508.0,nispec/psrb0656p14/fit/1020130124/ni1020130124_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130124 2017-12-26T08:25:00 (2216.8 s),486.01,6.0001,81,4.616782e-59,9.855,0.06959,1.1264e-11,8.400000000000005e-14,8.599999999999943e-14,0.0879773,,,22865.3,,
20,1020130125,nispec/psrb0656p14/pha/1020130125/ni1020130125_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130125/ni1020130125_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130125/ni1020130125_o1u20cut_clscr_gtisel_s5n50.pha,1020130125,2017-12-27T00:06:40,2017-12-27T18:43:06,2138.0,58114.00462962963,58114.77993055555,PSR_B0656+14,NICER,XTI,58114.00746740741,125798978.0,125865784.0,nispec/psrb0656p14/fit/1020130125/ni1020130125_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130125 2017-12-27T00:06:40 (2138.0 s),295.83,3.8924,76,1.090331e-27,9.892,0.07063,1.1478e-11,9.799999999999898e-14,8.200000000000066e-14,0.0871709,,,24314.8,,
21,1020130126,nispec/psrb0656p14/pha/1020130126/ni1020130126_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130126/ni1020130126_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130126/ni1020130126_o1u20cut_clscr_gtisel_s5n50.pha,1020130126,2017-12-28T13:02:20,2017-12-28T13:17:24,788.0,58115.543287037035,58115.55375,PSR_B0656+14,NICER,XTI,58115.54523361111,125931841.0,125932629.0,nispec/psrb0656p14/fit/1020130126/ni1020130126_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130126 2017-12-28T13:02:20 (788.0 s),193.84,3.3421,58,1.544287e-16,9.251,0.1143,1.0834e-11,1.639999999999997e-13,1.460000000000004e-13,0.0867873,,,23422.8,,
22,1020130127,nispec/psrb0656p14/pha/1020130127/ni1020130127_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130127/ni1020130127_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130127/ni1020130127_o1u20cut_clscr_gtisel_s5n50.pha,1020130127,2017-12-29T02:36:20,2017-12-29T20:10:13,2218.0,58116.108564814815,58116.84042824074,PSR_B0656+14,NICER,XTI,58116.11080074074,125980706.0,126043813.0,nispec/psrb0656p14/fit/1020130127/ni1020130127_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130127 2017-12-29T02:36:20 (2218.0 s),362.94,4.6531,78,2.54234e-38,9.632,0.06892,1.1175e-11,8.499999999999893e-14,7.500000000000039e-14,0.087796,,,22901.7,,
23,1020130128,nispec/psrb0656p14/pha/1020130128/ni1020130128_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130128/ni1020130128_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130128/ni1020130128_o1u20cut_clscr_gtisel_s5n50.pha,1020130128,2018-01-22T05:54:33,2018-01-22T16:48:37,1807.0,58140.24621527778,58140.70042824074,PSR_B0656+14,NICER,XTI,58140.24837018518,128066192.0,128105302.0,nispec/psrb0656p14/fit/1020130128/ni1020130128_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130128 2018-01-22T05:54:33 (1807.0 s),400.13,5.4812,73,1.253556e-46,9.573,0.07705,1.118e-11,8.999999999999982e-14,8.999999999999982e-14,0.0874143,,,23379.1,,
24,1020130129,nispec/psrb0656p14/pha/1020130129/ni1020130129_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130129/ni1020130129_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130129/ni1020130129_o1u20cut_clscr_gtisel_s5n50.pha,1020130129,2018-01-23T04:51:41,2018-01-23T20:36:06,936.0,58141.20255787037,58141.858402777776,PSR_B0656+14,NICER,XTI,58141.20728222222,128149042.0,128205305.0,nispec/psrb0656p14/fit/1020130129/ni1020130129_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130129 2018-01-23T04:51:41 (936.0 s),201.74,3.2023,63,1.964283e-16,9.485,0.1067,1.1099e-11,1.189999999999998e-13,1.2099999999999918e-13,0.0865633,,,24284.4,,
25,1020130130,nispec/psrb0656p14/pha/1020130130/ni1020130130_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130130/ni1020130130_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130130/ni1020130130_o1u20cut_clscr_gtisel_s5n50.pha,1020130130,2018-01-25T21:54:20,2018-01-25T23:35:19,334.0,58143.91273148148,58143.9828587963,PSR_B0656+14,NICER,XTI,58143.9166225,128383129.0,128388919.0,nispec/psrb0656p14/fit/1020130130/ni1020130130_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130130 2018-01-25T21:54:20 (334.0 s),80.44,1.609,50,0.004076419,10.07,0.1821,1.1557e-11,2.4700000000000087e-13,2.0299999999999984e-13,0.0875746,-0.00101108,0.0010182,23962.8,-1442.31,1533.9
26,1020130131,nispec/psrb0656p14/pha/1020130131/ni1020130131_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130131/ni1020130131_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130131/ni1020130131_o1u20cut_clscr_gtisel_s5n50.pha,1020130131,2018-01-26T05:35:40,2018-01-26T21:06:57,784.0,58144.23310185185,58144.87982638889,PSR_B0656+14,NICER,XTI,58144.23686555555,128410798.0,128466414.0,nispec/psrb0656p14/fit/1020130131/ni1020130131_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130131 2018-01-26T05:35:40 (784.0 s),184.51,3.0751,60,1.360203e-14,9.697,0.1171,1.1347e-11,1.4699999999999927e-13,1.2300000000000018e-13,0.0856069,,,26143.2,,
