MJDcenter,crab_intensity_2-20keV,crab_intensity_2-20keV_err
55058.5,0.024449000000000002,0.005901
55059.5,0.010616,0.005729
55060.5,0.021757,0.005737
55061.5,0.022203999999999998,0.006201
55062.5,0.016499,0.006462000000000001
55063.5,0.019127,0.00609
55064.5,0.019988,0.006222999999999999
55065.5,0.018192,0.0071920000000000005
55066.5,0.022813,0.0065840000000000004
55067.5,0.000663,0.006297
55068.5,0.003954,0.006314
55069.5,0.0004940000000000001,0.006218
55070.5,0.01584,0.006606999999999999
55073.5,0.02141,0.009519
55074.5,0.030531,0.005922
55075.5,0.014655000000000001,0.006145
55076.5,0.002463,0.006065
55077.5,0.015161,0.006409000000000001
55078.5,0.029296,0.006534999999999999
55079.5,-0.003894,0.006558
55080.5,0.015158000000000001,0.006944
55081.5,0.006132,0.007169
55082.5,0.023275,0.006659999999999999
55083.5,0.009465000000000001,0.006816
55084.5,0.014962,0.007005
55085.5,0.031899000000000004,0.007127
55086.5,0.0584,0.008236
55087.5,-0.066347,0.028658
55088.5,0.017566,0.007145
55089.5,0.013228,0.007555
55090.5,0.010646,0.006968000000000001
55091.5,0.004035,0.007794
55092.5,-0.004091,0.007245000000000001
55093.5,0.007941,0.007122
55094.5,0.019425,0.006762000000000001
55095.5,0.007242,0.0072299999999999994
55097.5,0.008408,0.009521
55098.5,0.008588,0.010047
55099.5,0.047111,0.00628
55100.5,-0.002999,0.00566
55101.5,0.015847,0.005538
55102.5,0.009758,0.005525
55103.5,0.002931,0.005295
55104.5,0.014899,0.005946
55105.5,0.01662,0.010573
55106.5,0.035862,0.009458
55107.5,0.017637,0.006108
55108.5,0.011637,0.00606
55109.5,0.017497,0.006113
55110.5,0.021366,0.006523999999999999
55111.5,0.004152,0.006275
55112.5,-7.6e-05,0.005749
55113.5,0.024259,0.014306000000000001
55114.5,0.004412,0.007317000000000001
55115.5,0.002715,0.007592
55116.5,0.014195,0.006875
55117.5,0.018387,0.009429
55118.5,0.017741,0.009443
55119.5,0.021021,0.005811
55120.5,0.021450999999999998,0.005705
55121.5,0.010428,0.005561
55122.5,0.015378999999999999,0.00548
55123.5,0.033389999999999996,0.006086
55124.5,0.008006000000000001,0.005142
55125.5,0.016333,0.005305
55126.5,0.000749,0.007981
55127.5,0.017206,0.005449
55128.5,0.01961,0.005256
55129.5,0.012772,0.005118
55130.5,0.009531999999999999,0.005157
55131.5,0.008043000000000002,0.005535
55132.5,0.007345999999999999,0.0052840000000000005
55133.5,0.013019,0.007998
55134.5,0.002366,0.005297
55135.5,0.011908,0.005549
55136.5,0.006847,0.00527
55137.5,0.020467,0.005424
55138.5,0.022084,0.008823000000000001
55139.5,0.024715,0.009038
55140.5,0.030381000000000002,0.010487999999999999
55141.5,0.017488999999999998,0.006687
55142.5,0.012766,0.005765999999999999
55143.5,0.010908,0.0059039999999999995
55144.5,0.019740999999999998,0.006111999999999999
55145.5,0.028723000000000002,0.006866
55146.5,0.024383000000000002,0.006542
55147.5,0.027183999999999996,0.011761
55148.5,0.016366,0.008862
55149.5,-0.000677,0.015093
55150.5,0.05969,0.01103
55151.5,0.06073099999999999,0.01213
55152.5,0.063946,0.011468
55153.5,0.095003,0.009062
55154.5,0.091824,0.0066040000000000005
55155.5,0.109919,0.007088
55156.5,0.068329,0.006146
55157.5,0.019681,0.005374
55158.5,0.009715000000000001,0.005449
55159.5,0.015721000000000002,0.005756
55160.5,0.011394,0.008494
55161.5,0.04442,0.018194
55162.5,0.021939,0.013553999999999998
55163.5,-0.011925,0.012812
55164.5,0.029298,0.013519999999999999
55165.5,0.034545,0.011984
55166.5,0.04425,0.011628
55167.5,0.007234999999999999,0.010834
55168.5,0.034825999999999996,0.007017
55169.5,0.013447999999999998,0.006201
55170.5,0.016711,0.005937
55171.5,0.029044,0.005376
55172.5,0.020766,0.007049
55173.5,0.086922,0.008264
55174.5,0.050289999999999994,0.005659
55175.5,-0.0037869999999999996,0.005567
55176.5,0.002925,0.0051920000000000004
55177.5,0.010761,0.005318
55178.5,0.011519,0.00533
55179.5,0.014828999999999998,0.006475
55180.5,0.023216999999999998,0.006554000000000001
55181.5,0.011106,0.005135
55182.5,0.017874,0.005263
55183.5,0.013881999999999999,0.0054020000000000006
55184.5,0.016915,0.005267
55185.5,0.018337,0.009109
55186.5,0.037495,0.006821
55187.5,0.042057,0.0057399999999999994
55188.5,0.032606,0.006314999999999999
55189.5,0.047276,0.007673
55190.5,0.026518,0.008255
55191.5,0.003819,0.0067209999999999995
55192.5,0.024526,0.005384000000000001
55193.5,0.012764,0.005711
55194.5,0.023041,0.005418
55195.5,0.021093,0.005559000000000001
55196.5,0.018298,0.005582999999999999
55197.5,0.016225,0.0053560000000000005
55198.5,0.022612,0.005619
55199.5,0.014837999999999999,0.005406
55200.5,0.015243000000000001,0.005497999999999999
55201.5,0.011939,0.00561
55202.5,0.021991999999999998,0.00624
55203.5,0.022622,0.005867
55204.5,0.017440999999999998,0.00573
55205.5,0.018690000000000002,0.00601
55206.5,0.037067,0.006274
55207.5,0.032876999999999997,0.006268
55208.5,0.004640999999999999,0.005777
55209.5,0.014703,0.006143
55210.5,0.009063,0.0062829999999999995
55211.5,0.015507,0.006368
55212.5,0.011573,0.006220000000000001
55213.5,0.02161,0.006358
55214.5,0.036160000000000005,0.007063
55215.5,0.035332999999999996,0.007425
55216.5,0.037492000000000004,0.00775
55217.5,0.031918,0.009670999999999999
55218.5,0.015229,0.010622
55219.5,0.019596000000000002,0.009966
55220.5,0.024548,0.011211
55221.5,0.026413,0.010517
55222.5,0.062915,0.012631
55223.5,0.005487,0.011292
55224.5,0.034312999999999996,0.013374
55225.5,0.002954,0.09411699999999999
55226.5,-0.007737000000000001,0.055792999999999995
55227.5,0.024751,0.013741999999999999
55228.5,0.010934000000000001,0.012452
55229.5,0.016661000000000002,0.013343
55230.5,0.013511000000000002,0.013587
55231.5,0.03878,0.012402
55232.5,0.042783,0.01286
55233.5,0.014459,0.013488
55234.5,0.039603,0.010634000000000001
55235.5,0.03767,0.010902
55236.5,0.016856,0.010763
55237.5,0.013693,0.013144
55238.5,0.027558,0.006481999999999999
55239.5,0.033407,0.006633
55240.5,0.017348,0.009744
55241.5,0.007072,0.009977
55242.5,-0.002908,0.011875
55243.5,0.060149,0.023266
55245.5,-0.017255,0.032923
55246.5,0.022178,0.013647999999999999
55247.5,0.011341,0.00539
55248.5,0.013306,0.005564
55249.5,0.019561000000000002,0.005729
55250.5,0.018234,0.00572
55251.5,0.006556,0.0060420000000000005
55252.5,0.015177000000000001,0.005736
55253.5,0.016184,0.006254
55254.5,0.022632,0.006219
55255.5,0.085549,0.027575
55256.5,0.03855,0.0063869999999999994
55257.5,0.01705,0.005863
55258.5,0.006962,0.005593
55259.5,0.004286,0.005599
55260.5,0.009375,0.005393
55261.5,0.011659000000000001,0.005345
55262.5,0.008851000000000001,0.005771
55263.5,0.016677,0.0055119999999999995
55264.5,0.007667,0.00528
55265.5,0.008849,0.0053549999999999995
55266.5,0.010325,0.005539
55267.5,0.014601,0.005821
55268.5,0.014288999999999998,0.0053490000000000005
55269.5,0.006018,0.005222
55270.5,0.011289,0.005586
55271.5,0.033242,0.005804999999999999
55272.5,0.020997,0.00563
55273.5,0.011761,0.005463
55274.5,0.006154,0.005788000000000001
55275.5,0.017757,0.005571
55276.5,0.018253,0.005599
55277.5,0.018293,0.005748
55278.5,0.004084,0.00564
55279.5,0.004642,0.005538
55280.5,0.004077,0.005835
55281.5,0.011531,0.006202
55282.5,0.021866999999999998,0.006089
55283.5,0.010709999999999999,0.006252000000000001
55284.5,0.01266,0.006554000000000001
55285.5,0.009031,0.006497
55286.5,0.032695999999999996,0.007645999999999999
55287.5,0.028597000000000004,0.007373
55288.5,0.046757,0.00937
55289.5,0.015867,0.008971
55290.5,0.015081,0.011871
55291.5,0.015502000000000002,0.009701999999999999
55292.5,0.007312000000000001,0.009757
55293.5,0.015308,0.008717
55294.5,0.042656,0.015691999999999998
55295.5,0.009889,0.018496000000000002
55296.5,0.00809,0.011009
55297.5,0.001163,0.010768000000000002
55298.5,0.010143000000000001,0.011306
55299.5,0.037208,0.011719
55300.5,-0.00032900000000000003,0.011276999999999999
55301.5,0.011977,0.010943000000000001
55302.5,0.016954,0.011136
55303.5,0.023127,0.010343000000000001
55304.5,0.047958,0.014163
55305.5,0.015287,0.014828999999999998
55306.5,0.018725,0.012376
55307.5,0.043991,0.012205
55308.5,0.003421,0.013113999999999999
55309.5,0.032813,0.015763
55310.5,-0.001994,0.007679999999999999
55311.5,-0.001963,0.007628
55312.5,-0.007125,0.008546
55313.5,-0.011378000000000001,0.007812
55314.5,0.017375,0.0070409999999999995
55315.5,0.013238,0.0069489999999999994
55316.5,0.007929,0.006391
55317.5,0.019899,0.0061649999999999995
55318.5,0.018445,0.00688
55319.5,0.008551000000000001,0.0072109999999999995
55320.5,0.016072,0.007055
55321.5,0.032001,0.008322
55322.5,0.041782,0.007729000000000001
55323.5,0.460477,0.015642
55324.5,0.6998270000000001,0.01701
55325.5,1.059097,0.021348
55326.5,0.8601979999999999,0.020675
55327.5,0.6525380000000001,0.029657999999999997
55328.5,0.725615,0.014738
55329.5,0.619085,0.013015
55330.5,0.595078,0.012372
55331.5,0.541404,0.013026
55332.5,0.5158,0.015161
55333.5,0.39227199999999995,0.03843
55334.5,0.401918,0.054092999999999995
55335.5,0.354723,0.030862999999999998
55336.5,0.340656,0.026066000000000002
55337.5,0.282069,0.023427
55338.5,0.836894,0.034354
